Artist,Song,Total Stream,MediumPositionsINTERN,MediumPositionsALL,PresenceIN,Markets,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Key,Mode,Duration_ms,Tempo,Genre
Ardhito Pramono,bitterlove,114769,28.0,0.45,1,79,393,678,531,0.0016,125,-10.92,0.0384,574,0,1,216265,149393,indonesian indie
Ardhito Pramono,fine today (Nanti Kita Cerita Tentang Hari Ini - Original Motion Picture Soundtrack),118093,27.0,0.44,1,79,873,557,303,199,113,-13967,0.0361,196,7,1,194153,51533,indonesian indie
Ariana Grande,7 rings,10291,38.5,0.62,2,79,592,778,317,0,0.0881,-10732,334,327,1,0,178627,140048,dance pop
Ariana Grande,Santa Baby,1385,46.0,0.74,1,77,0.0498,748,777,0,284,-5749,136,769,0,1,170933,95986,dance pop
Ariana Grande,Santa Tell Me,2647,12.0,0.19,1,79,0.0489,525,621,0,294,-7364,116,591,7,1,204093,191.9,dance pop
Arijit Singh,"Ghungroo (From ""War"")",107772,7.0,0.11,1,79,0.0744,695,727,0.000175,533,-6274,0.0323,864,6,0,302935,118034,desi pop
Arijit Singh,Pal Pal Dil Ke Paas- Title Track,69384,23.0,0.37,1,79,592,0.56,512,0,56,-7185,0.0333,0.39,1,0,254516,123991,desi pop
Arijit Singh,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",90598,11.0,0.18,1,79,736,427,396,0,0.11,-7556,0.0366,306,11,1,284780,70368,desi pop
Arijit Singh,Ve Maahi,56375,32.0,0.52,1,79,405,0.65,551,0,219,-6906,0.0274,294,0,1,223999,102934,desi pop
Arizona Zervas,ROXANNE,2722615,20.92,0.34,39,79,0.0522,621,601,0,0.46,-5616,148,457,6,0,163636,116735,pop rap
Armaan Malik,Buttabomma - Telugu,55398,33.0,0.53,1,79,753,666,644,0.000262,124,-8964,145,0.89,11,0,198783,115.1,desi pop
Aron Can,Hingað þangað,2096,37.0,0.6,1,79,163,709,0.69,0.000146,0.0896,-6424,218,829,10,0,186933,187866,icelandic hip hop
Arsy Widianto,Rindu Dalam Hati,106030,36.0,0.58,1,79,666,619,429,0.00205,0.11,-9116,0.0303,386,9,1,275689,136032,indonesian pop
Asees Kaur,"Hui Malang (From ""Malang - Unleash The Madness"")",49806,38.0,0.61,1,79,0.0337,633,904,4.31e-05,122,-5.09,0.0564,259,7,0,192097,124008,desi pop
Ashe,Moral of the Story,1255468,30.43,0.49,21,79,587,572,406,4.48e-06,102,-8624,0.0427,265,10,1,201084,119812,electropop
Asme,14,57912,39.0,0.63,1,78,153,769,579,0,127,-7481,0.0888,472,10,0,180547,149057,swedish urban
Asme,Intro,93055,11.0,0.18,1,78,75,691,536,0,223,-8318,0.26,193,8,1,85053,178.22,swedish urban
Asme,Lila,98209,9.0,0.15,1,78,118,681,635,0,0.0976,-7959,105,914,3,0,144933,90665,swedish urban
Aspova,Eskimiş Senelere,90840,22.0,0.35,1,79,331,745,515,0,0.0987,-9197,506,496,11,0,195789,151844,turkish hip hop
Astrid S,I Do,82322,2.0,0.03,1,77,502,665,524,0,124,-9404,0.0458,215,10,1,155822,110019,dance pop
Auður,Enginn eins og þú,2224,32.0,0.52,1,79,11,921,657,0.000449,0.0607,-5398,0.0421,837,2,0,181227,114.97,icelandic pop
Ava Max,Salt,127333,14.33,0.23,3,78,131,693,835,0,73,-3242,0.0623,743,6,1,180283,128052,dance pop
Aya Nakamura,40%,148938,19.0,0.31,1,78,396,841,693,4.03e-06,133,-7335,207,677,11,1,174933,92021,basshall
Ayushmann Khurrana,"Mere Liye Tum Kaafi Ho (From ""Shubh Mangal Zyada Saavdhan"")",87791,14.0,0.23,1,79,492,701,638,0,153,-3711,302,813,6,1,132158,177867,desi pop
Azteca,Pala Mande,11400,2.0,0.03,1,79,203,749,439,1.85e-05,101,-11287,0.15,543,9,1,179500,170.03,romanian trap
BEHM,Hei rakas,37951,3.0,0.05,1,77,0.43,0.68,411,1.52e-06,135,-10319,0.0282,251,11,0,211671,115024,melbourne bounce international
BENEE,Glitter,148756,15.0,0.24,2,79,0.0863,801,589,0,162,-5157,0.0485,0.58,7,1,180147,116934,australian pop
BENEE,Supalonely,90439,44.5,0.72,2,79,305,863,631,3.04e-05,123,-4689,0.0534,817,7,1,223480,128977,australian pop
BOWKYLION,ลงใจ,55848,4.0,0.06,1,79,487,583,445,0,109,-7141,0.0282,315,0,1,216000,74.94,thai indie pop
BROCKHAMPTON,SUGAR,133572,24.0,0.39,2,79,449,453,538,0,0.19,-8212,0.0638,516,1,1,204533,122973,boy band
BRÍET,Esjan,3811,12.0,0.19,1,79,902,335,275,1.83e-06,0.0645,-9057,0.0307,223,2,0,254816,153234,icelandic pop
BTS,00:00 (Zero O’Clock),49919,34.33,0.55,3,76,0.0802,566,548,0,0.11,-6456,0.0579,196,1,1,250296,157999,k-pop
BTS,Black Swan,238605,34.38,0.55,8,76,137,719,758,0,129,-5167,0.0851,0.49,2,0,198261,147023,k-pop
BTS,Boy With Luv (feat. Halsey),171975,32.5,0.52,6,79,0.0923,645,862,0,192,-4757,0.0965,798,11,0,229773,119991,k-pop
BTS,Filter,59210,33.5,0.54,4,76,0.0222,781,762,0,121,-5188,0.0626,0.86,10,0,180221,110042,k-pop
BTS,Friends,16108,5.0,0.08,1,76,0.0668,0.55,747,0,0.0536,-5211,0.0407,648,1,1,199339,79.98,k-pop
BTS,Inner Child,13532,15.0,0.24,1,76,17,589,696,0,0.0808,-7981,0.0725,332,11,1,233266,134953,k-pop
BTS,Interlude : Shadow,9367,30.0,0.48,1,76,115,385,798,0,181,-6439,483,141,9,0,259821,149756,k-pop
BTS,Jamais Vu,7542,49.0,0.79,1,79,226,608,0.47,0,0.0963,-6.73,0.0428,241,8,1,227275,81.0,k-pop
BTS,Louder than bombs,14074,12.0,0.19,1,76,0.0433,643,667,0,0.0904,-6993,152,485,0,0,217404,145999,k-pop
BTS,Make It Right,8204,43.0,0.69,1,79,0.0104,638,703,0,132,-7874,444,261,7,1,226321,105766,k-pop
BTS,Make It Right (feat. Lauv),89152,45.0,0.73,1,79,0.0304,584,685,0,189,-7811,425,345,7,1,226321,97551,k-pop
BTS,Moon,13263,16.0,0.26,1,76,0.0104,703,646,0,191,-6658,0.0596,0.64,6,1,208590,141.87,k-pop
BTS,My Time,15792,6.0,0.1,1,76,151,674,0.64,0,0.0925,-5139,0.0339,664,0,0,234458,99908,k-pop
BTS,ON,465494,23.83,0.38,12,76,118,583,817,0,338,-5146,0.0987,438,9,0,246381,105936,k-pop
BTS,ON (Feat. Sia),379699,24.0,0.39,7,76,137,591,848,0,372,-4397,0.0828,386,9,0,246816,105922,k-pop
BTS,Outro : Ego,9365,31.0,0.5,1,76,0.0121,808,903,0.000233,0.0993,-3106,0.0958,473,0,1,196199,116988,k-pop
BTS,Respect,9180,35.0,0.56,1,76,0.00485,661,0.84,0,287,-4805,116,524,0,1,237540,91457,k-pop
BTS,UGH!,11355,22.0,0.35,1,76,0.0394,0.72,824,0,0.0509,-5086,128,333,10,0,225012,165998,k-pop
BTS,We are Bulletproof : the Eternal,15713,7.0,0.11,1,76,225,526,575,0,108,-5215,0.0309,0.19,9,0,261543,84047,k-pop
Baani Sandhu,8 Parche,46893,45.0,0.73,1,79,161,652,862,0,203,-2.29,206,727,8,0,210000,173859,desi pop
Bad Bunny,25/8,1550898,22.5,0.36,14,79,92,761,732,0,0.0716,-5469,0.0549,542,4,0,243276,151982,latin
Bad Bunny,<3,975596,22.79,0.37,14,79,602,631,665,1.7e-06,152,-7589,229,634,10,0,157967,80353,latin
Bad Bunny,A Tu Merced,1171967,20.13,0.32,15,79,169,0.86,791,0.000106,106,-4784,0.0568,887,0,1,175918,92023,latin
Bad Bunny,Bichiyal,1855280,20.88,0.34,16,79,0.31,737,766,6.63e-06,114,-4242,0.0458,662,10,0,196500,93956,latin
Bad Bunny,Callaita,630367,37.57,0.61,14,79,0.6,0.61,624,2.12e-06,243,-4773,309,244,2,1,250534,176169,latin
Bad Bunny,Está Cabrón Ser Yo,1081730,21.53,0.35,15,79,0.0732,0.81,854,0,123,-3999,254,879,10,0,227939,154083,latin
Bad Bunny,Hablamos Mañana,990166,34.06,0.55,16,79,0.0869,683,677,0,0.0998,-4496,0.0469,514,1,1,240253,156019,latin
Bad Bunny,Ignorantes,3758727,4.37,0.07,19,79,267,0.85,536,3.89e-05,0.0996,-5161,0.0599,505,1,1,210607,96029,latin
Bad Bunny,La Difícil,4142437,2.67,0.04,18,79,0.0861,685,848,7.14e-06,0.0783,-4561,0.0858,761,8,0,163084,179.87,latin
Bad Bunny,La Santa,3214180,6.89,0.11,18,79,0.0326,744,868,0,0.0822,-4524,47,586,1,1,206420,93037,latin
Bad Bunny,La Zona,1501907,23.92,0.39,13,79,0.2,762,801,7.04e-05,254,-3661,0.0409,0.81,1,0,136893,93992,latin
Bad Bunny,P FKN R,732941,31.42,0.51,12,79,409,0.82,635,0,244,-5749,0.0772,528,5,0,258280,101024,latin
Bad Bunny,Pero Ya No,2351435,10.19,0.16,16,79,0.0475,882,612,5.07e-06,182,-6103,118,742,4,1,160638,147982,latin
Bad Bunny,Puesto Pa' Guerrial,635024,34.91,0.56,11,79,311,867,686,0,0.1,-5342,221,658,4,1,190207,139968,latin
Bad Bunny,Que Malo,1579130,28.75,0.46,16,79,0.0832,802,787,0,153,-6181,0.0599,446,7,0,167975,94026,latin
Bad Bunny,Safaera,2131781,12.5,0.2,14,79,0.0103,607,829,0,107,-4074,379,685,2,1,295177,96172,latin
Bad Bunny,Si Veo a Tu Mamá,4005053,7.11,0.11,18,79,402,0.9,603,4.81e-06,134,-5313,0.0646,824,2,1,170972,129928,latin
Bad Bunny,Soliá,1829492,18.5,0.3,16,79,117,0.71,0.81,0.000132,154,-5507,0.0854,184,2,1,159282,92041,latin
Bad Bunny,Una Vez,908392,28.29,0.46,14,79,132,0.55,598,2.58e-06,0.0955,-5402,0.0831,543,11,0,232496,83836,latin
Bad Bunny,Vete,2831852,8.0,0.13,18,79,0.0363,886,672,8.78e-06,101,-4394,188,526,1,1,192024,91976,latin
Bad Bunny,Yo Perreo Sola,2262156,14.56,0.23,16,79,21,0.86,758,6.54e-05,344,-5.16,0.0695,453,11,1,172127,97014,latin
Badshah,"Garmi (From ""Street Dancer 3D"") (feat. Varun Dhawan)",106310,8.0,0.13,1,79,123,788,0.87,1.43e-05,0.0692,-5217,177,884,9,1,182739,109974,desi hip hop
Bagossy Brothers Company,Olyan Ő,8396,19.0,0.31,1,79,185,775,0.51,0,124,-6043,0.0303,525,5,1,226250,119947,hungarian pop
Bakermat,Baianá,131827,41.67,0.67,3,74,0.0007,497,755,585,0.33,-6948,0.0497,493,2,0,182187,121869,deep euro house
Band Aid,Do They Know It's Christmas? - 1984 Version,2730,11.0,0.18,1,57,164,599,642,3.33e-05,0.0992,-6936,0.0363,349,0,1,222533,115412,no genres
Bandaga,Ahora Dice Que Me Ama,153301,34.0,0.55,1,79,165,848,615,0,181,-5675,192,0.48,1,0,198000,119964,trap espanol
Bazzi,I.F.L.Y.,126557,31.0,0.5,2,78,379,812,519,0,0.13,-4823,0.0385,554,2,1,165714,104954,pop
Be Vis,Surfer,41189,36.0,0.58,1,79,116,822,0.7,0,0.24,-6959,186,508,9,1,155280,120064,polish hip hop
Becky Hill,Better Off Without You (feat. Shift K3Y),210613,21.5,0.35,2,79,0.0566,682,855,1E-06,101,-3282,0.0401,304,7,1,198743,124004,dance pop
Bedoes,1998 (mam to we krwi),39540,43.0,0.69,1,79,324,721,651,0,259,-7962,0.41,233,1,1,232133,148744,polish hip hop
Bedoes,Brzydkie Rzeczy,42027,33.0,0.53,1,79,394,715,566,0,294,-8426,326,651,10,0,179610,155.97,polish hip hop
Bedoes,Jesteś ładniejsza niż na zdjęciach (na zawsze),50242,18.0,0.29,1,79,706,426,0.4,0,115,-11407,0.0908,221,1,0,217400,170004,polish hip hop
Bedoes,Opowieści z Doliny Smoków,37859,46.0,0.74,1,79,0.22,704,557,0,0.0717,-9405,0.29,251,10,0,198091,112982,polish hip hop
Bedoes,VOGUE,61092,11.0,0.18,1,79,0.0711,782,568,0.0203,143,-8074,0.0772,454,2,1,218133,118033,polish hip hop
Bedoes,Wschód (lubię zapierdalać),39235,45.0,0.73,1,79,259,612,683,1.03e-05,626,-8512,208,434,10,0,248987,143094,polish hip hop
Bembe Orquesta,En Peligro de Extinción,48949,32.0,0.52,1,79,237,665,877,4.37e-06,141,-5302,0.0457,752,1,1,241667,179889,pop peruano
Ben Fero,Arkadaş,74422,32.0,0.52,1,79,117,0.81,631,0,119,-7855,327,407,4,0,185567,144978,turkish trap
Ben&Ben,Araw-Araw,133437,23.0,0.37,1,79,582,475,424,0,234,-8.39,0.0295,224,11,1,313952,140903,opm
Ben&Ben,Fall,123974,27.0,0.44,1,79,689,486,457,0,132,-7376,0.0281,485,1,1,244654,149828,opm
Ben&Ben,Kathang Isip,145226,18.0,0.29,1,78,776,491,314,4.76e-06,152,-8.58,0.0301,295,10,1,318814,126921,opm
Ben&Ben,Leaves,86609,49.0,0.79,1,78,913,447,0.16,0,0.0891,-10896,0.0372,205,6,1,310709,118313,opm
Ben&Ben,Make It With You,256423,3.0,0.05,1,79,0.7,558,458,2.11e-05,186,-10711,0.0485,342,4,1,209783,86877,opm
Ben&Ben,Masyado Pang Maaga,183022,11.0,0.18,1,79,458,526,571,0,0.11,-7091,0.0295,0.31,7,1,306204,140051,opm
Ben&Ben,Maybe The Night,126442,26.0,0.42,1,78,113,572,522,4.91e-05,114,-9095,0.0367,498,2,1,217197,74.05,opm
Ben&Ben,Pagtingin,230337,4.0,0.06,1,79,506,669,0.42,0,404,-8464,0.0253,523,2,1,227370,95049,opm
Ben&Ben,Sa Susunod na Habang Buhay,211038,6.0,0.1,1,79,432,311,342,1.93e-06,114,-8889,32,274,2,1,288189,177158,opm
Benaia Barabi,מישהו איתי כאן,6211,45.0,0.73,1,79,727,721,632,0,117,-6059,0.0332,377,2,0,218745,99966,israeli mediterranean
Beret,Si por mi fuera,144463,39.0,0.63,1,78,0.0269,701,748,0,102,-5717,0.0317,875,2,1,208824,150078,latin pop
Berkay,İki Hece,80489,27.0,0.44,1,1,254,803,716,0,0.12,-4909,131,882,8,0,213532,95024,deep turkish pop
Beéle,Loco,34810,43.0,0.69,1,79,158,0.82,565,2.45e-05,0.0469,-5965,0.17,773,6,1,204000,105.11,no genres
Bialas,Drift,60453,12.0,0.19,1,79,0.18,794,504,0,424,-9418,428,625,5,0,166678,95008,polish hip hop
Bich Phuong,Đi Đu Đưa Đi,7736,47.0,0.76,1,79,107,815,645,0.00548,0.0953,-6334,0.0507,683,5,0,220169,118024,v-pop
BigDaddy,Mượn Rượu Tỏ Tình,8045,45.0,0.73,1,79,0.71,692,659,0.000354,109,-7672,161,523,5,1,198375,159928,v-pop
Billie Eilish,No Time To Die,2020635,16.09,0.26,35,79,917,0.38,219,0.0104,0.0827,-13273,0.0358,0.0517,4,0,242265,73537,electropop
Billie Eilish,bad guy,678677,30.77,0.5,30,79,328,701,425,0.13,0.1,-10965,375,562,7,1,194088,135128,electropop
Billie Eilish,everything i wanted,1939029,20.8,0.34,35,79,902,704,225,657,106,-14454,0.0994,243,6,0,245426,120006,electropop
Billie Eilish,lovely (with Khalid),18278,40.0,0.65,3,79,934,351,296,0,95,-10109,0.0333,0.12,4,0,200186,115284,electropop
Billie Eilish,when the party's over,6703,41.0,0.66,4,79,978,367,111,3.97e-05,0.0897,-14084,0.0972,198,4,1,196077,82642,electropop
Billy Hlapeto,Бели Нощи (feat. D3MO),1568,24.0,0.39,1,79,106,594,583,203,101,-7859,0.0656,293,7,1,240000,176112,bulgarian pop
Bing Crosby,White Christmas,2269,20.0,0.32,1,78,673,317,158,353,338,-16485,0.0381,247,9,1,177480,130503,adult standards
Bispo,Essa Saia (feat. Ivandro),22893,13.0,0.21,1,79,0.5,698,0.62,0,101,-7359,218,0.4,11,0,209070,88352,hip hop tuga
Bispo,Lembrei-me,37362,3.0,0.05,1,79,673,0.67,429,2.7e-05,0.12,-10084,308,453,7,1,206467,76949,hip hop tuga
Black Eyed Peas,RITMO (Bad Boys For Life),1112659,34.68,0.56,22,79,0.0334,721,716,0.00084,237,-7037,0.0657,667,10,0,221714,104994,dance pop
Bobby Helms,Jingle Bell Rock,3393,5.0,0.08,1,79,643,754,424,0,0.0652,-8463,0.0363,806,2,1,130973,119705,adult standards
Boza,Party En Mi Casa,24650,4.0,0.06,1,79,248,776,667,0,0.0921,-5016,0.43,506,1,0,157768,99877,panamanian pop
Branco,BACK TO BUSINESS,41751,12.0,0.19,1,79,0.3,906,724,2.77e-06,0.0608,-5.98,117,584,1,0,197468,119943,danish pop
Branco,LA DANZA,87745,1.0,0.02,1,79,228,0.78,665,1.25e-05,0.0967,-6017,162,592,11,0,185711,127201,danish pop
Branco,London Town,30240,26.0,0.42,1,79,419,857,541,1.36e-06,108,-7272,283,565,1,0,173934,101913,danish pop
Branco,MON CHERI (feat. Amina),20056,50.0,0.81,1,79,0.0416,813,0.56,1.89e-05,164,-5679,195,524,5,0,147812,95979,danish pop
Branco,NAPOLI,37712,14.0,0.23,1,79,181,825,579,8.28e-06,103,-7493,0.0556,629,0,0,174290,123892,danish pop
Branco,VERDEN VENDER,26268,33.0,0.53,1,79,0.0256,711,623,0,399,-8617,0.0679,0.46,6,0,181161,119965,danish pop
Brenda Lee,Rockin' Around The Christmas Tree,3568,4.0,0.06,1,79,614,589,472,0,505,-8749,0.0502,898,8,1,126267,67196,adult standards
Britney Spears,My Only Wish (This Year),1594,35.0,0.56,1,1,175,666,824,0,205,-4743,0.0267,698,0,1,257027,147069,dance pop
Bruce Springsteen,"Santa Claus Is Comin' to Town - Live at C.W. Post College, Greenvale, NY - December 1975",1667,31.0,0.5,1,79,362,355,668,1.23e-06,727,-8444,0.0482,413,0,1,267600,139734,classic rock
Budi Doremi,Tolong,134785,23.0,0.37,1,79,891,435,0.2,0,103,-12481,0.0365,244,9,1,250323,136054,indonesian pop
Bunga Citra Lestari,Cinta Sejati,104934,39.0,0.63,2,2,865,221,411,0.000132,106,-7327,0.0314,224,5,1,302280,179667,indonesian pop
Burl Ives,A Holly Jolly Christmas - Single Version,2287,18.0,0.29,1,3,579,683,375,0,76,-13056,0.0303,888,0,1,135533,140467,adult standards
ByeAlex és a Slepp,Kösznem,6129,36.0,0.58,1,79,265,781,697,7.63e-05,158,-6601,129,366,5,0,230426,93991,hungarian pop
